Season,Gamecode,NUM_ANOT,TEAM,ID_PLAYER,PLAYER,ID_ACTION,ACTION,POINTS,COORD_X,COORD_Y,ZONE,FASTBREAK,SECOND_CHANCE,POINTS_OFF_TURNOVER,MINUTE,CONSOLE,POINTS_A,POINTS_B,UTC
2025,1,269,IST,P007200,"LARKIN, SHANE",2FGA,Missed Two Pointer,0,56,87,C,0,0,0,19,01:50,32,39,20250930182500
2025,1,272,TEL,P007673,"TRIFUNOVIC, UROS",3FGA,Missed Three Pointer,0,-520,602,H,0,0,0,19,01:39,32,39,20250930182554
2025,1,274,IST,P009754,"LOYD, JORDAN",2FGM,Two Pointer,2,-6,489,F,0,0,0,19,01:29,34,39,20250930182604
2025,1,279,IST,P009754,"LOYD, JORDAN",3FGA,Missed Three Pointer,0,508,746,I,0,0,0,19,01:28,34,39,20250930182819
2025,1,281,IST,P007109,"SMITS, ROLANDS",2FGM,Two Pointer,2,69,56,C,0,1,1,19,01:28,36,39,20250930182823
2025,1,282,TEL,P014123,"DOWTIN JR, JEFFREY",3FGM,Three Pointer,3,-583,514,H,0,0,0,19,01:28,36,42,20250930182842
2025,1,285,IST,P009754,"LOYD, JORDAN",2FGM,Two Pointer,2,25,282,E,0,0,0,20,00:44,38,42,20250930182859
2025,1,286,TEL,P007673,"TRIFUNOVIC, UROS",2FGM,Two Pointer,2,-175,43,B,0,0,0,20,00:19,38,44,20250930182924
2025,1,288,IST,P007200,"LARKIN, SHANE",2FGM,Two Pointer,2,-138,225,D,0,0,0,20,01:00,40,44,20250930182943
2025,1,306,TEL,P006835,"HOARD, JAYLEN",FTM,Free Throw In,1,-1,-1, ,0,0,1,21,09:37,40,45,20250930184544
2025,1,312,TEL,P011219,"SORKIN, ROMAN",2FGA,Missed Two Pointer,0,-112,87,B,0,0,0,21,09:37,40,45,20250930184630
2025,1,315,IST,P010391,"WEILER-BABB, NICK",3FGM,Three Pointer,3,-545,627,H,0,0,0,22,08:58,43,45,20250930184653
2025,1,317,TEL,P013699,"CLARK III, JIMMY",2FGA,Missed Two Pointer,0,-56,301,D,0,0,0,22,08:43,43,45,20250930184708
2025,1,319,IST,P007200,"LARKIN, SHANE",2FGM,Two Pointer,2,69,75,C,0,0,0,22,08:39,45,45,20250930184714
2025,1,321,TEL,P011219,"SORKIN, ROMAN",2FGM,Two Pointer,2,18,263,E,0,0,0,22,08:19,45,47,20250930184740
2025,1,324,IST,P009549,"CORDINIER, ISAIA",3FGA,Missed Three Pointer,0,363,715,I,0,0,0,23,07:57,45,47,20250930184803
2025,1,326,TEL,P011193,"BLATT, TAMIR",3FGM,Three Pointer,3,-12,765,H,0,0,0,23,07:48,45,50,20250930184816
2025,1,330,TEL,P013699,"CLARK III, JIMMY",2FGA,Missed Two Pointer,0,-18,50,B,0,0,0,23,07:22,45,50,20250930184842
2025,1,334,IST,P009549,"CORDINIER, ISAIA",2FGM,Two Pointer,2,-432,131,F,0,0,0,23,07:05,47,50,20250930184926
2025,1,337,TEL,P006835,"HOARD, JAYLEN",3FGA,Missed Three Pointer,0,489,677,I,0,0,0,24,06:49,47,50,20250930184943
2025,1,339,TEL,P013699,"CLARK III, JIMMY",2FGA,Missed Two Pointer,0,-351,175,D,0,0,0,24,06:44,47,50,20250930184948
2025,1,341,TEL,P011193,"BLATT, TAMIR",2FGA,Missed Two Pointer,0,-376,263,F,0,0,0,24,06:28,47,50,20250930185003
2025,1,343,IST,P009549,"CORDINIER, ISAIA",2FGA,Missed Two Pointer,0,-81,219,D,0,0,0,24,06:10,47,50,20250930185022
2025,1,350,TEL,P013381,"RAYMAN, WILLIAM",3FGA,Missed Three Pointer,0,564,539,I,0,0,0,25,05:52,47,50,20250930185117
2025,1,352,IST,P012710,"OSMANI, ERCAN",2FGM,Two Pointer,2,12,94,C,0,0,0,25,05:34,49,50,20250930185138
2025,1,361,IST,P012710,"OSMANI, ERCAN",FTM,Free Throw In,1,-1,-1, ,0,0,0,25,05:34,50,50,20250930185222
2025,1,362,TEL,P006835,"HOARD, JAYLEN",2FGM,Two Pointer,2,6,37,C,0,0,0,25,05:16,50,52,20250930185239
2025,1,366,TEL,P011219,"SORKIN, ROMAN",3FGA,Missed Three Pointer,0,401,777,I,0,0,0,26,04:49,50,52,20250930185316
2025,1,374,IST,P007200,"LARKIN, SHANE",FTM,Free Throw In,1,-1,-1, ,0,0,0,26,04:41,51,52,20250930185605
2025,1,375,IST,P007200,"LARKIN, SHANE",FTM,Free Throw In,1,-1,-1, ,0,0,0,26,04:41,52,52,20250930185620
2025,1,378,IST,P007109,"SMITS, ROLANDS",2FGM,Two Pointer,2,18,150,C,0,0,1,26,04:21,54,52,20250930185645
2025,1,383,TEL,P014127,"BRISSETT, O'SHAE J",2FGM,Two Pointer,2,-81,37,B,0,0,0,27,03:57,54,54,20250930185734
2025,1,388,TEL,P014127,"BRISSETT, O'SHAE J",2FGA,Missed Two Pointer,0,-31,0,A,0,0,0,27,03:57,54,54,20250930185808
2025,1,393,IST,P007109,"SMITS, ROLANDS",2FGA,Missed Two Pointer,0,-18,244,D,0,0,0,27,03:11,54,54,20250930185906
2025,1,396,TEL,P013403,"WALKER IV, LONNIE",3FGM,Three Pointer,3,595,508,I,0,0,0,28,02:59,54,57,20250930185918
2025,1,398,IST,P007200,"LARKIN, SHANE",3FGA,Missed Three Pointer,0,-282,740,H,0,0,0,28,02:47,54,57,20250930185929
